ts,c_out_4_0,c_out_4_1,c_out_4_2,c_out_4_3,c_out_4_4,c_out_4_5,c_out_4_6,c_out_4_7,c_out_4_8,c_out_4_9,c_out_4_10,c_out_4_11,c_out_4_12,v_out_4_0,v_out_4_1,v_out_4_2,v_out_4_3,v_out_4_4,v_out_4_5,v_out_4_6,v_out_4_7,v_out_4_8,v_out_4_9,v_out_4_10,v_out_4_11,v_out_4_12,out_en_4_0,out_en_4_1,out_en_4_2,out_en_4_3,out_en_4_4,out_en_4_5,out_en_4_6,out_en_4_7,out_en_4_8,out_en_4_9,out_en_4_10,out_en_4_11,out_en_4_12,temp_4_0,temp_4_1,bootcause_4,bootcnt_4,uptime_4,resetcause_4,batt_mode_4,heater_on_4,conv_5v_en_4,latchup_4_0,latchup_4_1,latchup_4_2,latchup_4_3,latchup_4_4,latchup_4_5,latchup_4_6,latchup_4_7,latchup_4_8,latchup_4_9,latchup_4_10,latchup_4_11,latchup_4_12,vbat_v_4,vcc_c_4,batt_c_4,batt_v_4,batt_temp_4_0,batt_temp_4_1,device_type_4_0,device_type_4_1,device_type_4_2,device_type_4_3,device_type_4_4,device_type_4_5,device_type_4_6,device_type_4_7,device_status_4_0,device_status_4_1,device_status_4_2,device_status_4_3,device_status_4_4,device_status_4_5,device_status_4_6,device_status_4_7,dearm_status_4,wdt_cnt_gnd_4,wdt_cnt_i2c_4,wdt_cnt_can_4,wdt_cnt_csp_4_0,wdt_cnt_csp_4_1,wdt_gnd_left_4,wdt_i2c_left_4,wdt_can_left_4,wdt_csp_left_4_0,wdt_csp_left_4_1,batt_chrg_4,batt_dischrg_4,ant6_depl_4,ar6_depl_4
1726185840,5,0,0,0,-3,108,8,0,-3,-3,0,8,4,0,1147,199,0,0,5029,137,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,262,257,4,43,1791657,6,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16114,-125,-669,16148,0,0,7,2,2,4,0,0,0,0,1,1,1,1,0,0,0,0,1,4,0,0,0,0,145731,0,0,5,5,-5,664,3,3
1726186140,5,0,0,3,-3,105,8,0,-3,0,-4,5,7,0,1147,199,0,0,5029,137,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,245,239,4,43,1791957,6,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16114,-125,-678,16134,0,0,7,2,2,4,0,0,0,0,1,1,1,1,0,0,0,0,1,4,0,0,0,0,145431,0,0,5,5,-6,672,3,3
1726186440,5,0,0,0,-3,105,11,0,-3,-3,0,8,4,0,1147,199,0,0,5029,137,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,227,222,4,43,1792257,6,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16083,-127,-671,16117,0,0,7,2,2,4,0,0,0,0,1,1,1,1,0,0,0,0,1,4,0,0,0,0,172777,0,0,5,5,-5,666,3,3
1726186740,2,0,-3,0,-3,102,8,0,-3,-3,-4,5,4,0,1147,199,0,0,5029,137,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,210,205,4,43,1792557,6,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16068,-125,-676,16099,0,0,7,2,2,4,0,0,0,0,1,1,1,1,0,0,0,0,1,4,0,0,0,0,172477,0,0,5,5,-6,670,3,3
1726187340,5,0,0,0,-3,105,8,-3,-3,-3,0,5,4,0,1147,199,0,0,5029,137,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,242,235,4,43,1793157,6,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16205,-125,730,16240,0,0,7,2,2,4,0,0,0,0,1,1,1,1,0,0,0,0,1,4,0,0,0,0,171877,0,0,5,5,1385,655,3,3
1726187940,5,0,-3,0,-3,108,8,0,-3,0,0,8,4,0,1147,199,0,0,5029,137,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,290,280,4,43,1793757,6,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16266,-125,720,16289,0,0,7,2,2,4,0,0,0,0,1,1,1,1,0,0,0,0,1,4,0,0,0,0,171277,0,0,5,5,1385,665,3,3
1726188540,5,0,0,0,-3,111,8,0,-3,-3,0,8,4,0,1147,199,0,0,5029,137,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,325,316,4,43,1794357,6,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16282,-127,586,16300,0,0,7,2,2,4,0,0,0,0,1,1,1,1,0,0,0,0,1,4,0,0,0,0,170677,0,0,5,5,1259,673,3,3
1726189140,5,0,0,0,-3,111,8,0,0,0,0,5,7,0,1147,199,0,0,5029,137,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,355,345,4,43,1794957,6,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16282,-127,439,16302,0,0,7,2,2,4,0,0,0,0,1,1,1,1,0,0,0,0,1,4,0,0,0,0,170077,0,0,5,5,1105,666,3,3
1726189740,5,0,0,0,-3,114,8,0,0,-3,0,5,7,0,1147,199,0,0,5029,137,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,362,354,4,43,1795557,6,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16282,-127,344,16303,0,0,7,2,2,4,0,0,0,0,1,1,1,1,0,0,0,0,1,4,0,0,0,0,169477,0,0,5,5,1011,667,3,3
1726190340,5,0,0,3,-3,111,8,0,0,0,-4,8,4,0,1147,199,0,0,5029,137,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,347,340,4,43,1796158,6,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16236,-125,-127,16267,0,0,7,2,2,4,0,0,0,0,1,1,1,1,0,0,0,0,1,4,0,0,0,0,168876,0,0,5,5,535,662,3,3
1726190940,5,0,0,0,-3,111,8,0,-3,0,0,8,4,0,1147,215,0,0,5029,137,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,292,287,4,43,1796758,6,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16159,-125,-668,16190,0,0,7,2,2,4,0,0,0,0,1,1,1,1,0,0,0,0,1,4,0,0,0,0,168276,0,0,5,5,-5,663,3,3
1726191540,5,0,0,0,-3,108,8,0,-3,-3,0,8,4,0,1147,199,0,0,5029,137,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,257,252,4,43,1797358,6,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16129,-127,-669,16160,0,0,7,2,2,4,0,0,0,0,1,1,1,1,0,0,0,0,1,4,0,0,0,0,167676,0,0,5,5,-6,663,3,3
1726192140,5,0,0,3,-3,108,8,0,0,0,0,8,4,0,1147,199,0,0,5029,137,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,225,218,4,43,1797957,6,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16221,-125,-829,16117,0,0,7,2,2,4,0,0,0,0,1,1,1,1,0,0,0,0,1,4,0,0,0,0,172707,0,0,5,5,-6,823,3,3
1726205580,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4,nan,nan,6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1726205640,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4,nan,nan,6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1726205790,5,0,0,0,-3,108,8,-3,-3,-3,0,5,7,0,1147,199,0,0,5029,137,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,325,315,1,43,1811608,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16266,-127,654,16298,0,0,7,2,2,4,0,0,0,0,1,1,1,1,0,0,0,0,1,4,0,0,0,0,159056,0,0,5,5,1324,670,3,3
